player_id,player_name,team_name
3441,Nikola Vlašić,Croatia
3444,Danijel Subašić,Croatia
3445,Radamel Falcao García Zárate,Colombia
3446,Djibril Sidibé,France
3447,Ademola Lookman,Nigeria
3450,Jordan Ayew,Ghana
3455,Luka Milivojević,Serbia
3457,Michy Batshuayi Tunga,Belgium
3468,Jordan Pickford,England
3470,Dominic Calvert-Lewin,England
3471,Dejan Lovren,Croatia
3472,Willian Borges da Silva,Brazil
3477,Álvaro Borja Morata Martín,Spain
3481,Serge Aurier,Côte d'Ivoire
3488,Wayne Hennessey,Wales
3493,Emre Can,Germany
3494,Davinson Sánchez Mina,Colombia
3496,Mesut Özil,Germany
3499,Jean-Eric Maxim Choupo-Moting,Cameroon
3500,Granit Xhaka,Switzerland
3501,Philippe Coutinho Correia,Brazil
3504,Ruben Loftus-Cheek,England
3509,Thibaut Courtois,Belgium
3512,Marko Grujić,Serbia
3517,Aaron Ramsey,Wales
3530,Hiroki Sakai,Japan
3531,Mohamed Salah,Egypt
3532,Jordan Brian Henderson,England
3533,Xherdan Shaqiri,Switzerland
3535,Roberto Firmino Barbosa de Oliveira,Brazil
3536,Ramadan Sobhi Ramadan Ahmed,Egypt
3543,Steve Mandanda,France
3551,Karl Brillant Toko Ekambi,Cameroon
3555,Pape Moussa Konaté,Senegal
3557,Naïm Sliti,Tunisia
3567,Georginio Wijnaldum,Netherlands
3568,Mohamed Naser Elsayed Elneny,Egypt
3569,Daniel Nii Tackie Mensah Welbeck,England
3570,Pierre-Emile Højbjerg,Denmark
3575,Oleksandr Zinchenko,Ukraine
3576,Martin Olsson,Sweden
3581,Ryan Fraser,Scotland
3587,Arthur Masuaku,Congo DR
3593,Renato Júnior Luz Sanches,Portugal
3594,Danny Rose,England
3602,Faustino Marcos Alberto Rojo,Argentina
3603,Mame Biram Diouf,Senegal
3604,Olivier Giroud,France
3605,Sung-Yeung Ki,South Korea
3612,Ashley Young,England
3616,Callum Wilson,England
3620,Scott McTominay,Scotland
3621,Eden Hazard,Belgium
3625,Sofiane Boufal,Morocco
3629,Sadio Mané,Senegal
3632,André Martín Carrillo Díaz,Peru
3634,Abdelhamid Sabiri,Morocco
3637,Grzegorz Krychowiak,Poland
3639,Georges-Kévin Nkoudou Mbida,Cameroon
3645,Gary Cahill,England
3647,Alex Iwobi,Nigeria
3648,Cenk Tosun,Turkey
3655,Andrew Robertson,Scotland
3658,DeAndre Yedlin,United States
3659,Wilfredo Daniel Caballero,Argentina
3664,Trent Alexander-Arnold,England
3669,Virgil van Dijk,Netherlands
3675,Fodé Ballo Touré,Senegal
3684,Cheikhou Kouyaté,Senegal
3702,Victor Nilsson Lindelöf,Sweden
3707,Adrien Sebastian Perruchet Silva,Portugal
3708,Kelechi Promise Iheanacho,Nigeria
3709,Daniel Amartey,Ghana
3710,Fousseni Diabaté,Mali
3711,Martin Dúbravka,Slovakia
3720,Johann Berg Guðmunds­son,Iceland
3761,Mike Maignan,France
3767,Ellyes Joris Skhiri,Tunisia
3806,Bright Osayi-Samuel,Nigeria
3810,Shinji Okazaki,Japan
3811,Islam Slimani,Algeria
3814,Riyad Mahrez,Algeria
3815,Kasper Schmeichel,Denmark
3822,Ezri Konsa Ngoyo,England
3831,Dušan Tadić,Serbia
3834,Ivan Toney,England
3853,Kieffer Roberto Francisco Moore,Wales
3856,Joe Aribo,Nigeria
3878,Sam Morsy,Egypt
3913,Edimilson Fernandes,Switzerland
3923,Oluwasemilogo Adesewo Ibidapo Ajayi,Nigeria
3943,Declan Rice,England
3944,Gylfi Þór Sigurðsson,Iceland
3957,César Azpilicueta Tanco,Spain
3959,Andreas Christensen,Denmark
3960,José Miguel da Rocha Fonte,Portugal
3961,N'Golo Kanté,France
3962,Diafra Sakho,Senegal
3963,Victor Moses,Nigeria
3969,Aleksandar Dragović,Austria
4041,José Salomón Rondón Giménez,Venezuela
4063,Ahmed Elsayed Ali Elsayed Hegazy,Egypt
4127,David Raya Martin,Spain
4129,Tyler Roberts,Wales
4218,Ryan Nyambe,Namibia
4256,Jonathan Bamba,Côte d'Ivoire
4267,Mouctar Diakhaby,Guinea
4269,Aleksandar Mitrović,Serbia
4272,João Mário Naval da Costa Eduardo,Portugal
4276,David Ospina Ramírez,Colombia
4277,Papa Alioune N'Diaye,Senegal
4286,Callum Styles,Hungary
4308,Houssem Aouar,Algeria
4318,Davy Klaassen,Netherlands
4319,Edinson Roberto Cavani Gómez,Uruguay
4320,Neymar da Silva Santos Junior,Brazil
4324,Daniel Alves da Silva,Brazil
4352,Issiaga Sylla,Guinea
4353,Aymeric Laporte,Spain
4354,Phil Foden,England
4355,Emerson Palmieri dos Santos,Italy
4367,Gonçalo Manuel Ganchinho Guedes,Portugal
4372,Marcos Aoás Corrêa,Brazil
4375,Blaise Matuidi,France
4376,Edgar Miguel Ié,Guinea-Bissau
4385,Yves Bissouma,Mali
4388,Kouakou Herve Koffi,Burkina Faso
4412,Samuel Moutoussamy,Congo DR
4416,Max-Alain Gradel,Côte d'Ivoire
4417,Ola Toivonen,Sweden
4421,Tomáš Hubočan,Slovakia
4445,Jules Koundé,France
4447,Martin Braithwaite Christensen,Denmark
4464,Adama Traoré,Mali
4471,Ablie Jallow,Gambia
4506,Nampalys Mendy,Senegal
4567,David Brooks,Wales
4587,Matteo Darmian,Italy
4597,Fabian Delph,England
4610,Ethan Pinnock,Jamaica
4614,Antonee Robinson,United States
4626,Jan Bednarek,Poland
4664,Sebastian Szymański,Poland
4673,Kamil Jóźwiak,Poland
4685,Artur Jędrzejczyk,Poland
4691,Claudio Andrés Bravo Muñoz,Chile
4696,Ebou Adams,Gambia
4706,Kalvin Phillips,England
4709,Pontus Jansson,Sweden
4713,Ezgjan Alioski,North Macedonia
4734,Matty Cash,Poland
4735,Ben Brereton Díaz,Chile
4753,Aaron Tshibola,Congo DR
4760,Ollie Watkins,England
4763,Henrik Dalsgaard,Denmark
4767,Chris Mepham,Wales
4774,Connor Roberts,Wales
4809,Matěj Vydra,Czech Republic
4813,Andreas Weimann,Austria
4826,Yohan Benalouane,Tunisia
4831,Nacer Chadli,Belgium
4870,Tomáš Souček,Czech Republic
4872,Eduard Sobol,Ukraine
4875,Jan Bořil,Czech Republic
4909,Jeremie Boga,Côte d'Ivoire
4926,Francisco Román Alarcón Suárez,Spain
4934,Ethan Ampadu,Wales
4935,Bryan Mbeumo,Cameroon
4939,Joris Kayembe Ditu,Congo DR
5170,Mário Figueira Fernandes,Russia
5171,Roman Zobnin,Russia
5172,Igor Akinfeev,Russia
5173,Abdullah Ibrahim Otayf,Saudi Arabia
5174,Sergei Ignashevich,Russia
5175,Ilya Kutepov,Russia
5176,Mohanad Aseri Abu Radiah,Saudi Arabia
5177,Aleksandr Golovin,Russia
5178,Salman Mohammed Al Faraj,Saudi Arabia
5179,Daler Kuzyaev,Russia
5180,Alan Dzagoev,Russia
5181,Yury Gazinskiy,Russia
5182,Aleksandr Samedov,Russia
5183,Yasir Gharsan Al Shahrani,Saudi Arabia
5184,Osama Abdulrezag Hawsawi,Saudi Arabia
5185,Taisir Jabir Al Jassim,Saudi Arabia
5186,Denis Cheryshev,Russia
5187,Salem Mohammed Al Dawsari,Saudi Arabia
5188,Hattan Babhir,Saudi Arabia
5189,Abdullah Ibrahim Al Maiouf,Saudi Arabia
5190,Fahad Mosaed Al Muwallad Al Harbi,Saudi Arabia
5191,Mohammed Al Burayk,Saudi Arabia
5192,Yehya Sulaiman Ali Al-Shehri,Saudi Arabia
5193,Yuri Zhirkov,Russia
5194,Fyodor Smolov,Russia
5195,Artem Dzyuba,Russia
5196,Mohammad Ibrahim Al Sahlawi,Saudi Arabia
5197,Omar Ibrahim Omar Othman Hawsawi,Saudi Arabia
5198,Diego da Silva Costa,Spain
5199,Jorge Resurrección Merodio,Spain
5200,Lucas Vázquez Iglesias,Spain
5201,Sergio Ramos García,Spain
5202,José Ignacio Fernández Iglesias,Spain
5203,Sergio Busquets i Burgos,Spain
5204,Bruno Miguel Borges Fernandes,Portugal
5205,Rui Pedro dos Santos Patrício,Portugal
5206,Rúben Santos Gato Alves Dias,Portugal
5207,Cristiano Ronaldo dos Santos Aveiro,Portugal
5208,Thiago Alcântara do Nascimento,Spain
5209,Raphaël Adelino José Guerreiro,Portugal
5211,Jordi Alba Ramos,Spain
5213,Gerard Piqué Bernabéu,Spain
5214,William Silva de Carvalho,Portugal
5215,Ricardo Andrade Quaresma Bernardo,Portugal
5216,Andrés Iniesta Luján,Spain
5217,Iago Aspas Juncal,Spain
5218,André Miguel Valente Silva,Portugal
5219,Romain Saïss,Morocco
5220,Morteza Pouraliganji,Iran
5221,Manuel Marouan da Costa Trinidade,Morocco
5222,Roozbeh Cheshmi,Iran
5223,Aziz Bouhaddouz,Morocco
5224,Sardar Azmoun,Iran
5225,Omid Ebrahimi,Iran
5226,Mehdi Taremi,Iran
5227,Alireza Safar Beiranvand,Iran
5228,Seyed Majid Hosseini,Iran
5229,Ayoub El Kaabi,Morocco
5230,Ehsan Hajsafi,Iran
5231,Karim Ansarifard,Iran
5232,Mbark Boussoufa,Morocco
5233,Munir Mohand Mohamedi,Morocco
5234,Sofyan Amrabat,Morocco
5235,Ramin Rezaeian,Iran
5236,Karim El Ahmadi Al Aroos,Morocco
5237,Hakim Ziyech,Morocco
5238,Masoud Shojaei Soleimani,Iran
5239,Alireza Jahanbakhsh,Iran
5240,Saman Ghoddos,Iran
5241,Vahid Amiri,Iran
5242,Younès Belhanda,Morocco
5243,Amine Harit,Morocco
5244,Medhi Amine El Mouttaqi Benatia,Morocco
5245,Achraf Hakimi Mouh,Morocco
5246,Luis Alberto Suárez Díaz,Uruguay
5247,Nahitan Michel Nández Acosta,Uruguay
5248,José Martín Cáceres Silva,Uruguay
5249,Diego Roberto Godín Leal,Uruguay
5250,Ahmed Fathy Abdel Meneim Ibrahim,Egypt
5251,Abdalla Mahmoud El Said Bekhit,Egypt
5252,Marwan Mohsen,Egypt
5253,Amr Medhat Warda,Egypt
5254,Ali Gabr,Egypt
5255,Matías Vecino Falero,Uruguay
5256,Cristian Gabriel Rodríguez Barrotti,Uruguay
5257,Mahmoud Abdul Monem Abdelhamid Soliman,Egypt
5258,Giorgian Daniel De Arrascaeta Benedetti,Uruguay
5259,José María Giménez de Vargas,Uruguay
5260,Rodrigo Bentancur Colmán,Uruguay
5261,Mahmoud Ibrahim Hassan,Egypt
5262,Tarek Hamed,Egypt
5263,Mohamed Abdul Shafy Sayed Abouezeid,Egypt
5264,Guillermo Varela Olivera,Uruguay
5265,Mohamed El Sayed Mohamed El Shenawy Gomaa,Egypt
5266,Lucas Torreira Di Pascua,Uruguay
5267,Néstor Fernando Muslera Micol,Uruguay
5268,Carlos Andrés Sánchez Arcosa,Uruguay
5454,Francis Odinaka Uzoho,Nigeria
5455,William Troost-Ekong,Nigeria
5456,Mateo Kovačić,Croatia
5457,Ivan Strinić,Croatia
5458,Odion Jude Ighalo,Nigeria
5459,Marko Pjaca,Croatia
5460,Andrej Kramarić,Croatia
5461,Šime Vrsaljko,Croatia
5462,Brian Oladapo Idowu,Nigeria
5463,Luka Modrić,Croatia
5464,Simeon Tochukwu Nwankwo,Nigeria
5465,Ante Rebić,Croatia
5466,Oghenekaro Etebo,Nigeria
5467,Leon Aderemi Balogun,Nigeria
5468,Domagoj Vida,Croatia
5469,Marcelo Brozović,Croatia
5470,Ivan Rakitić,Croatia
5471,Abdullahi Shehu,Nigeria
5472,Mario Mandžukić,Croatia
5473,Ahmed Musa,Nigeria
5474,Ivan Perišić,Croatia
5475,John Michael Nchekwube Obinna,Nigeria
5476,Benjamin Pavard,France
5477,Ousmane Dembélé,France
5478,Trent Sainsbury,Australia
5479,Aziz Eraltay Behich,Australia
5480,Corentin Tolisso,France
5481,Mathew Leckie,Australia
5482,Josh Risdon,Australia
5483,Daniel Arzani,Australia
5484,Lucas Hernández Pi,France
5485,Raphaël Varane,France
5486,Andrew Nabbout,Australia
5487,Antoine Griezmann,France
5488,Mark Milligan,Australia
5489,Mile Jedinak,Australia
5490,Jackson Irvine,Australia
5491,Tom Rogić,Australia
5492,Samuel Yves Umtiti,France
5493,Tomi Jurić,Australia
5494,Robbie Kruse,Australia
5495,Rúrik Gíslason,Iceland
5496,Cristian David Pavón,Argentina
5497,Gonzalo Gerardo Higuaín,Argentina
5498,Hannes Þór Halldórsson,Iceland
5499,Maximiliano Eduardo Meza,Argentina
5500,Björn Bergmann Sigurðarson,Iceland
5501,Hörður Björgvin Magnússon,Iceland
5502,Ari Freyr Skúlason,Iceland
5503,Lionel Andrés Messi Cuccittini,Argentina
5504,Éver Maximiliano David Banega,Argentina
5505,Kári Árnason,Iceland
5506,Javier Alejandro Mascherano,Argentina
5507,Nicolás Alejandro Tagliafico,Argentina
5508,Birkir Már Sævarsson,Iceland
5509,Birkir Bjarnason,Iceland
5510,Lucas Rodrigo Biglia,Argentina
5511,Ragnar Sigurðsson,Iceland
5512,Emil Hallfreðsson,Iceland
5513,Eduardo Antonio Salvio,Argentina
5514,Alfreð Finnbogason,Iceland
5515,Aron Einar Gunnarsson,Iceland
5516,Pione Sisto Ifolo Emirmija,Denmark
5517,William Vitved Kvist Jørgensen,Denmark
5518,Miguel Ángel Trauco Saavedra,Peru
5519,Christian Alberto Cueva Bravo,Peru
5520,Lasse Schöne,Denmark
5521,Luis Jan Piers Advíncula Castrillón,Peru
5522,Nicolai Jørgensen,Denmark
5523,Renato Fabrizio Tapia Cortijo,Peru
5524,Jens Stryger Larsen,Denmark
5525,Édison Michael Flores Peralta,Peru
5526,Pedro Jesús Aquino Sánchez,Peru
5527,Thomas Delaney,Denmark
5528,Pedro David Gallese Quiróz,Peru
5529,Víctor Yoshimar Yotún Flores,Peru
5530,Christian Guillermo Martín Ramos Garagay,Peru
5531,Jefferson Agustín Farfán Guadalupe,Peru
5532,Alberto Junior Rodríguez Valdelomar,Peru
5533,Raúl Mario Ruidíaz Misitich,Peru
5534,Simon Thorup Kjær,Denmark
5535,José Paolo Guerrero Gonzáles,Peru
5536,Yussuf Yurary Poulsen,Denmark
5537,Fabian Lukas Schär,Switzerland
5538,Denis Lemi Zakaria Lako Lado,Switzerland
5539,Carlos Henrique Casimiro,Brazil
5540,Valon Behrami,Switzerland
5541,Stephan Lichtsteiner,Switzerland
5542,José Paulo Bezzera Maciel Júnior,Brazil
5543,Haris Seferović,Switzerland
5544,Ricardo Iván Rodríguez Araya,Switzerland
5545,Breel-Donald Embolo,Switzerland
5546,Michael Lang,Switzerland
5547,Alisson Ramsés Becker,Brazil
5548,Steven Zuber,Switzerland
5549,Manuel Obafemi Akanji,Switzerland
5550,Yann Sommer,Switzerland
5551,João Miranda de Souza Filho,Brazil
5552,Marcelo Vieira da Silva Júnior,Brazil
5553,Renato Soares de Oliveira Augusto,Brazil
5554,Blerim Džemaili,Switzerland
5555,Julian Brandt,Germany
5556,Miguel Arturo Layún Prado,Mexico
5557,Timo Werner,Germany
5558,Rafael Márquez Álvarez,Mexico
5559,Marco Reus,Germany
5560,Carlos Alberto Vela Garrido,Mexico
5561,Hugo Ayala Castro,Mexico
5562,Thomas Müller,Germany
5563,José Andrés Guardado Hernández,Mexico
5564,Carlos Joel Salcedo Hernández,Mexico
5565,Mario Gómez García,Germany
5566,Sami Khedira,Germany
5567,Edson Omar Álvarez Velázquez,Mexico
5568,Raúl Alonso Jiménez Rodríguez,Mexico
5569,Marvin Plattenhardt,Germany
5570,Manuel Neuer,Germany
5571,Hirving Rodrigo Lozano Bahena,Mexico
5572,Mats Hummels,Germany
5573,Héctor Alfredo Moreno Herrera,Mexico
5574,Toni Kroos,Germany
5575,Héctor Miguel Herrera López,Mexico
5576,Jesús Daniel Gallardo Vasconcelos,Mexico
5577,Francisco Guillermo Ochoa Magaña,Mexico
5578,Jérôme Boateng,Germany
5579,Joshua Kimmich,Germany
5580,Duško Tošić,Serbia
5581,Joel Nathaniel Campbell Samuels,Costa Rica
5582,Celso Borges Mora,Costa Rica
5583,Aleksandar Prijović,Serbia
5584,Giancarlo González Castro,Costa Rica
5585,Daniel Colindres Solera,Costa Rica
5586,Marcos Danilo Ureña Porras,Costa Rica
5587,Adem Ljajić,Serbia
5588,Antonio Rukavina,Serbia
5589,Sergej Milinković-Savić,Serbia
5590,Johnny Acosta Zamora,Costa Rica
5591,Filip Kostić,Serbia
5592,Bryan Ruiz González,Costa Rica
5593,Christian Bolaños Navarro,Costa Rica
5594,Branislav Ivanović,Serbia
5595,Johan Alberto Venegas Ulloa,Costa Rica
5596,Aleksandar Kolarov,Serbia
5597,Keylor Navas Gamboa,Costa Rica
5598,Óscar Esau Duarte Gaitán,Costa Rica
5599,David Alberto Guzmán Pérez,Costa Rica
5600,Francisco Javier Calvo Quesada,Costa Rica
5601,Vladimir Stojković,Serbia
5602,Cristian Gamboa Luna,Costa Rica
5603,Nikola Milenković,Serbia
5604,Young-Gwon Kim,South Korea
5605,Oscar Hiljemark,Sweden
5606,Hyun-Soo Jang,South Korea
5607,Andreas Granqvist,Sweden
5608,Yong Lee,South Korea
5609,Joo-Ho Park,South Korea
5610,Min-Woo Kim,South Korea
5611,Gustav Svensson,Sweden
5612,Mikael Lustig,Sweden
5613,Viktor Claesson,Sweden
5615,Isaac Kiese Thelin,Sweden
5616,Seung-Woo Lee,South Korea
5617,Sebastian Larsson,Sweden
5618,Woo-Young Jung,South Korea
5619,Hyeon-Woo Jo,South Korea
5620,Hee-Chan Hwang,South Korea
5621,Ludwig Augustinsson,Sweden
5622,Robin Olsen,Sweden
5623,Jae-Sung Lee,South Korea
5624,Albin Ekdal,Sweden
5625,Emil Peter Forsberg,Sweden
5626,Shin-Wook Kim,South Korea
5627,Ja-Cheol Koo,South Korea
5628,José Luis Rodríguez Francis,Panama
5629,Gabriel Arturo Torres Tejada,Panama
5630,Dries Mertens,Belgium
5631,Blas Antonio Miguel Pérez Ortega,Panama
5632,Thorgan Hazard,Belgium
5633,Yannick Ferreira Carrasco,Belgium
5634,Erick Javier Davis Grajales,Panama
5635,Román Aureliano Torres Morcillo,Panama
5636,Jaime Manuel Penedo Cano,Panama
5637,Edgar Yoel Bárcenas Herrera,Panama
5638,Fidel Escobar Mendieta,Panama
5639,Anga Dedryck Boyata,Belgium
5640,Gabriel Enrique Gómez Girón,Panama
5641,Michael Amir Murillo Bermudez,Panama
5642,Axel Witsel,Belgium
5643,Luis Carlos Tejada Hansell,Panama
5644,Ismael Díaz De León,Panama
5645,Armando Enrique Cooper Whitaker,Panama
5646,Aníbal Cesis Godoy,Panama
5647,Ali Maâloul,Tunisia
5648,Farouk Ben Mustapha,Tunisia
5649,Anice Badri,Tunisia
5650,Ferjani Sassi,Tunisia
5651,Yassine Meriah,Tunisia
5652,Saber Khalifa,Tunisia
5653,Mouez Hassen,Tunisia
5654,Fakhreddine Ben Youssef,Tunisia
5655,Dylan Daniel Mahmoud Bronn,Tunisia
5656,Syam Ben Youssef,Tunisia
5657,Mohamed Amine Ben Amor,Tunisia
5658,Łukasz Piszczek,Poland
5659,Khadim N'Diaye,Senegal
5660,Piotr Zieliński,Poland
5661,M'Baye Babacar Niang,Senegal
5662,Thiago Rangel Cionek,Poland
5663,Jakub Błaszczykowski,Poland
5664,Salif Sané,Senegal
5665,Arkadiusz Milik,Poland
5666,Dawid Kownacki,Poland
5667,Kamil Grosicki,Poland
5668,Robert Lewandowski,Poland
5669,Wojciech Szczęsny,Poland
5670,Michał Pazdan,Poland
5671,Alfred John Momar N'Diaye,Senegal
5672,Maciej Rybus,Poland
5673,Bartosz Bereszyński,Poland
5674,Moussa Wagué,Senegal
5675,Kalidou Koulibaly,Senegal
5676,Cheikh N'Doye,Senegal
5677,Fedor Kudryashov,Russia
5678,Jefferson Andrés Lerma Solís,Colombia
5679,Yūya Ōsako,Japan
5680,Oscar Fabián Murillo Murillo,Colombia
5681,Makoto Hasebe,Japan
5682,Gen Shōji,Japan
5683,Keisuke Honda,Japan
5684,Shinji Kagawa,Japan
5685,Carlos Alberto Sánchez Moreno,Colombia
5686,Wílmar Enrique Barrios Terán,Colombia
5687,Takashi Inui,Japan
5688,Carlos Arturo Bacca Ahumada,Colombia
5689,Juan Guillermo Cuadrado Bello,Colombia
5690,Yuto Nagatomo,Japan
5691,Johan Andrés Mojica Palacio,Colombia
5692,Juan Fernando Quintero Paniagua,Colombia
5693,Gaku Shibasaki,Japan
5694,Hotaru Yamaguchi,Japan
5695,James David Rodríguez Rubio,Colombia
5696,Santiago Arias Naranjo,Colombia
5697,Genki Haraguchi,Japan
5713,Mohammed Kanoo,Saudi Arabia
5714,Mohammed Khalil Al Owais,Saudi Arabia
5715,Ali Albulayhi,Saudi Arabia
5716,Hussain Al Mogahwi,Saudi Arabia
5717,Diego Sebastián Laxalt Suárez,Uruguay
5718,Rodrigo Moreno Machado,Spain
5719,Marco Asensio Willemsen,Spain
5720,Milad Mohammadi,Iran
5721,Daniel Carvajal Ramos,Spain
5722,Saeid Ezatolahi Afagh,Iran
5723,Gelson Dany Batalha Martins,Portugal
5724,Fayçal Fajr,Morocco
5725,Mehdi Carcela-González,Morocco
5726,Khalid Boutaïb,Morocco
5727,Nabil Dirar,Morocco
5732,Andreas Evald Cornelius,Denmark
5737,Steven N'Kemboanza Mike Christopher Nzonzi,France
5738,Anderson Santamaría Bardales,Peru
5739,Vedran Ćorluka,Croatia
5741,Enzo Nicolás Pérez,Argentina
5742,Gabriel Iván Mercado,Argentina
5743,Paulo Bruno Exequiel Dybala,Argentina
5829,Jón Daði Böðvarsson,Iceland
5830,Kenneth Josiah Omeruo,Nigeria
5831,Sverrir Ingi Ingason,Iceland
5832,Tyronne Ebuehi,Nigeria
5833,Nemanja Radonjić,Serbia
5834,Mario Gavranović,Switzerland
5835,Josip Drmic,Switzerland
5836,Bryan Oviedo,Costa Rica
5837,Douglas Costa de Souza,Brazil
5838,Fágner Conserva Lemos,Brazil
5839,Yeltsin Ignacio Tejeda Valverde,Costa Rica
5936,Hamdi Nagguez,Tunisia
5985,Jesús Manuel Corona Ruíz,Mexico
5986,Chul Hong,South Korea
5987,Giovani dos Santos Ramírez,Mexico
5988,Se-Jong Ju,South Korea
5989,Seon-Min Moon,South Korea
6038,John Guidetti,Sweden
6039,Sebastian Rudy,Germany
6040,Jonas Hector,Germany
6138,Ricardo Guardia Avila,Panama
6139,Felipe Abdiel Baloy Ramírez,Panama
6140,Abdiel Arroyo Molinar,Panama
6191,Takashi Usami,Japan
6192,Abel Enrique Aguilar Tapia,Colombia
6193,Andrés Mateus Uribe Villa,Colombia
6194,Łukasz Teodorczyk,Poland
6195,Jacek Góralski,Poland
6196,Yerry Fernando Mina González,Colombia
6290,Motaz Ali Hassan Hawsawi,Saudi Arabia
6291,Yasser Abdullah Al Mosailem,Saudi Arabia
6292,Essam Kamal Tawfik El Hadary,Egypt
6297,Maximiliano Gómez González,Uruguay
6298,Igor Smolnikov,Russia
6299,Aleksey Miranchuk,Russia
6300,Sebastián Coates Nión,Uruguay
6301,Youssef En-Nesyri,Morocco
6302,Kasper Dolberg,Denmark
6303,Viktor Fischer,Denmark
6304,Arnór Ingvi Traustason,Iceland
6305,Milan Badelj,Croatia
6306,Albert Gudmundsson,Iceland
6307,Duje Ćaleta-Car,Croatia
6308,Josip Pivarić,Croatia
6309,Tin Jedvaj,Croatia
6310,Filip Bradarić,Croatia
6311,Lovre Kalinić,Croatia
6312,Franco Armani,Argentina
6313,Wilder José Cartagena Mendoza,Peru
6314,Tim Cahill,Australia
6315,Christopher Paolo César Hurtado Huertas,Peru
6316,Oribe Peralta Morones,Mexico
