country,roster_name,position,shirt_number,found_in_club_data,club_player_id,club_player_name,club_team_name
Belgium (BEL),LAMMENS Senne,Goalkeeper,12,False,,,
Belgium (BEL),PENDERS Mike,Goalkeeper,13,False,,,
Belgium (BEL),DE WINTER,Defender,16,False,,,
Belgium (BEL),SEYS Joaquin,Defender,18,False,,,
Belgium (BEL),MOREIRA Diego,Midfielder,19,False,,,
Belgium (BEL),SAELEMAEKERS Alexis,Midfielder,22,False,,,
Belgium (BEL),RASKIN Nicolas,Midfielder,23,False,,,
Belgium (BEL),NGOY Nathan,Defender,25,False,,,
Belgium (BEL),FERNANDEZ-PARDO Matias,Forward,26,False,,,
Bosnia And Herzegovina (BIH),VASILJ Nikola,Goalkeeper,1,False,,,
Bosnia And Herzegovina (BIH),MUJAKIC Nihad,Defender,2,False,,,
Bosnia And Herzegovina (BIH),HADZIKADUNIC Dennis,Defender,3,False,,,
Bosnia And Herzegovina (BIH),MUHAREMOVIC Tarik,Defender,4,False,,,
Bosnia And Herzegovina (BIH),KOLASINAC Sead,Defender,5,True,3510.0,Sead Kolašinac,Olympique de Marseille
Bosnia And Herzegovina (BIH),TAHIROVIC Benjamin,Midfielder,6,False,,,
Bosnia And Herzegovina (BIH),DEDIC Amar,Defender,7,False,,,
Bosnia And Herzegovina (BIH),GIGOVIC Armin,Midfielder,8,False,,,
Bosnia And Herzegovina (BIH),BAZDAR Samed,Forward,9,False,,,
Bosnia And Herzegovina (BIH),DEMIROVIC Ermedin,Forward,10,True,6874.0,Ermedin Demirović,Augsburg
Bosnia And Herzegovina (BIH),DZEKO Edin,Forward,11,False,,,
Bosnia And Herzegovina (BIH),JURKAS Mladen,Goalkeeper,12,False,,,
Bosnia And Herzegovina (BIH),BASIC Ivan,Midfielder,13,False,,,
Bosnia And Herzegovina (BIH),SUNJIC Ivan,Midfielder,14,False,,,
Bosnia And Herzegovina (BIH),MEMIC Amar,Midfielder,15,False,,,
Bosnia And Herzegovina (BIH),HADZIAHMETOVIC Amir,Midfielder,16,False,,,
Bosnia And Herzegovina (BIH),BURNIC Dzenis,Midfielder,17,False,,,
Bosnia And Herzegovina (BIH),KATIC Nikola,Defender,18,False,,,
Bosnia And Herzegovina (BIH),ALAJBEGOVIC Kerim,Forward,19,False,,,
Bosnia And Herzegovina (BIH),BAJRAKTAREVIC Esmir,Forward,20,False,,,
Bosnia And Herzegovina (BIH),RADELJIC Stjepan,Defender,21,False,,,
Bosnia And Herzegovina (BIH),ZLOMISLIC Martin,Goalkeeper,22,False,,,
Bosnia And Herzegovina (BIH),TABAKOVIC Haris,Forward,23,False,,,
Bosnia And Herzegovina (BIH),MALIC Arjan,Defender,24,False,,,
Bosnia And Herzegovina (BIH),LUKIC Jovo,Forward,25,False,,,
Bosnia And Herzegovina (BIH),MAHMIC Ermin,Midfielder,26,False,,,
Brazil (BRA),MATHEUS CUNHA,Forward,9,False,,,
Brazil (BRA),LEO PEREIRA,Defender,15,False,,,
Brazil (BRA),DOUGLAS SANTOS,Defender,16,False,,,
Brazil (BRA),LUIZ HENRIQUE,Forward,21,False,,,
Brazil (BRA),ROGER IBANEZ,Defender,24,False,,,
Brazil (BRA),IGOR THIAGO,Forward,25,False,,,
Brazil (BRA),RAYAN Rayan,Forward,26,True,32649.0,Mathis Rayan Cherki,Lyon
Cabo Verde (CPV),STOPIRA Ianique,Defender,2,False,,,
Cabo Verde (CPV),PICO LOPES,Defender,4,False,,,
Cabo Verde (CPV),MARCIO ROSA,Goalkeeper,12,False,,,
Cabo Verde (CPV),SIDNY LOPES,Defender,13,False,,,
Cabo Verde (CPV),YANNICK SEMEDO,Midfielder,16,False,,,
Cabo Verde (CPV),TELMO ARCANJO,Midfielder,18,False,,,
Cabo Verde (CPV),DAILON LIVRAMENTO,Forward,19,False,,,
Cabo Verde (CPV),NUNO DA,Midfielder,21,True,3216.0,Nuno Miguel da Costa Jóia,Auxerre
Cabo Verde (CPV),CJ DOS,Goalkeeper,23,False,,,
Cabo Verde (CPV),WAGNER PINA,Defender,24,False,,,
Cabo Verde (CPV),KELVIN PIRES,Defender,25,False,,,
Cabo Verde (CPV),HELIO VARELA,Midfielder,26,False,,,
Canada (CAN),JONES Al,Defender,3,False,,,
Canada (CAN),WATERMAN Joel,Defender,5,False,,,
Canada (CAN),GOODMAN Owen,Goalkeeper,18,False,,,
Canada (CAN),SIGUR Niko,Defender,23,False,,,
Canada (CAN),DAVID Promise,Forward,24,False,,,
Canada (CAN),SALIBA Nathan,Midfielder,25,False,,,
Canada (CAN),NELSON Jayden,Forward,26,False,,,
Colombia (COL),PUERTA Gustavo,Defender,14,True,261630.0,Gustavo Adolfo Puerta Molano,Bayer Leverkusen
Colombia (COL),PORTILLA Juan,Midfielder,15,False,,,
Colombia (COL),DITTA Willer,Defender,18,False,,,
Colombia (COL),HERNANDEZ Cucho,Forward,19,False,,,
Colombia (COL),CAMPAZ Jaminton,Forward,21,False,,,
Colombia (COL),MONTERO Alvaro,Goalkeeper,24,False,,,
Colombia (COL),SUAREZ Luis,Forward,25,True,24093.0,Luis Javier Suárez Charris,Granada
Colombia (COL),GOMEZ Andres,Forward,26,False,,,
Congo DR (COD),WAN-BISSAKA Aaron,Defender,2,False,,,
Congo DR (COD),KAPUADI Steve,Defender,3,False,,,
Congo DR (COD),TUANZEBE Axel,Defender,4,False,,,
Congo DR (COD),MUKAU Ngalayel,Midfielder,6,False,,,
Congo DR (COD),MBUKU Nathanael,Midfielder,7,False,,,
Congo DR (COD),CIPENGA Brian,Forward,9,False,,,
Congo DR (COD),SADIKI Noah,Midfielder,14,False,,,
Congo DR (COD),FAYULU Timothy,Goalkeeper,16,False,,,
Congo DR (COD),EPOLO Matthieu,Goalkeeper,21,False,,,
Congo DR (COD),KAYEMBE Edo,Midfielder,25,False,,,
Croatia (CRO),MORO Nikola,Midfielder,7,False,,,
Croatia (CRO),PANDUR Ivor,Goalkeeper,12,False,,,
Croatia (CRO),SUCIC Petar,Midfielder,17,False,,,
Croatia (CRO),JAKIC Kristijan,Defender,18,False,,,
Croatia (CRO),FRUK Toni,Midfielder,19,False,,,
Croatia (CRO),MATANOVIC Igor,Forward,20,False,,,
Croatia (CRO),VUSKOVIC Luka,Defender,22,False,,,
Croatia (CRO),KOTARSKI Dominik,Goalkeeper,23,False,,,
Croatia (CRO),PASALIC Marco,Forward,24,False,,,
Croatia (CRO),ERLIC Martin,Defender,25,False,,,
Croatia (CRO),MUSA Petar,Forward,26,False,,,
Curaçao (CUW),ROOM Eloy,Goalkeeper,1,False,,,
Curaçao (CUW),SAMBO Shurandy,Defender,2,False,,,
Curaçao (CUW),GAARI Jurien,Defender,3,False,,,
Curaçao (CUW),VAN EIJMA,Defender,4,False,,,
Curaçao (CUW),FLORANUS Sherel,Defender,5,False,,,
Curaçao (CUW),ROEMERATOE Godfried,Midfielder,6,False,,,
Curaçao (CUW),BACUNA Juninho,Midfielder,7,False,,,
Curaçao (CUW),COMENENCIA Livano,Midfielder,8,False,,,
Curaçao (CUW),LOCADIA Juergen,Forward,9,False,,,
Curaçao (CUW),BACUNA Leandro,Midfielder,10,False,,,
Curaçao (CUW),ANTONISSE Jeremy,Forward,11,False,,,
Curaçao (CUW),HANSEN Sontje,Forward,12,False,,,
Curaçao (CUW),NOSLIN Tyrese,Forward,13,False,,,
Curaçao (CUW),GORRE Kenji,Forward,14,False,,,
Curaçao (CUW),MARTHA Arjany,Midfielder,15,False,,,
Curaçao (CUW),MARGARITHA Jearl,Forward,16,False,,,
Curaçao (CUW),KUWAS Brandley,Forward,17,False,,,
Curaçao (CUW),OBISPO Armando,Defender,18,False,,,
Curaçao (CUW),KASTANEER Gervane,Forward,19,False,,,
Curaçao (CUW),BRENET Joshua,Defender,20,False,,,
Curaçao (CUW),CHONG Tahith,Midfielder,21,False,,,
Curaçao (CUW),FELIDA Kevin,Midfielder,22,False,,,
Curaçao (CUW),BAZOER Riechedly,Defender,23,False,,,
Curaçao (CUW),FONVILLE Deveron,Defender,24,False,,,
Curaçao (CUW),BODAK Tyrick,Goalkeeper,25,False,,,
Curaçao (CUW),DOORNBUSCH Trevor,Goalkeeper,26,False,,,
Czechia (CZE),ZIMA David,Defender,2,False,,,
Czechia (CZE),CHALOUPEK Stepan,Defender,6,False,,,
Czechia (CZE),ZELENY Jaroslav,Defender,20,False,,,
Czechia (CZE),HORNICEK Lukas,Goalkeeper,23,False,,,
Czechia (CZE),SOJKA Alexandr,Midfielder,24,False,,,
Czechia (CZE),SOCHUREK Hugo,Midfielder,25,False,,,
Czechia (CZE),VISINSKY Denis,Forward,26,False,,,
Côte D'Ivoire (CIV),BONNY Ange-Yoan,Forward,9,False,,,
Côte D'Ivoire (CIV),DIOMANDE Yan,Forward,11,False,,,
Côte D'Ivoire (CIV),WAHI Elye,Forward,12,True,61095.0,Sepe Elye Wahi,Montpellier
Côte D'Ivoire (CIV),OPERI Christopher,Defender,13,False,,,
Côte D'Ivoire (CIV),DIALLO Amad,Forward,15,False,,,
Côte D'Ivoire (CIV),KONE Mohamed,Goalkeeper,16,False,,,
Côte D'Ivoire (CIV),DOUE Guela,Defender,17,True,44732.0,Guela Doué,Rennes
Côte D'Ivoire (CIV),AGBADOU Emmanuel,Defender,20,True,49705.0,Emmanuel Agbadou,Stade de Reims
Côte D'Ivoire (CIV),GUESSAND Evann,Forward,22,True,45189.0,Evann Guessand,Nantes
Côte D'Ivoire (CIV),LAFONT Alban,Goalkeeper,23,True,2981.0,Alban Lafont,Nantes
Côte D'Ivoire (CIV),TOURE Bazoumana,Forward,24,False,,,
Côte D'Ivoire (CIV),GUIAGON Parfait,Midfielder,25,False,,,
Côte D'Ivoire (CIV),OULAI Christ,Midfielder,26,False,,,
Ecuador (ECU),ORDONEZ Joel,Defender,4,False,,,
Ecuador (ECU),ALCIVAR Jordy,Midfielder,5,False,,,
Ecuador (ECU),VALENCIA Anthony,Midfielder,8,False,,,
Ecuador (ECU),RAMIREZ Moises,Goalkeeper,12,False,,,
Ecuador (ECU),VITE Pedro,Midfielder,15,False,,,
Ecuador (ECU),CASTILLO Denil,Midfielder,18,False,,,
Ecuador (ECU),ANGULO Nilson,Forward,20,False,,,
Ecuador (ECU),VALLE Gonzalo,Goalkeeper,22,False,,,
Ecuador (ECU),AREVALO Jeremy,Forward,24,False,,,
Ecuador (ECU),MEDINA Yaimar,Defender,26,False,,,
Egypt (EGY),YASSER IBRAHIM,Defender,2,False,,,
Egypt (EGY),HOSSAM ABDELMAGUID,Defender,4,False,,,
Egypt (EGY),RAMY RABIA,Defender,5,False,,,
Egypt (EGY),HAMZA ABDELKARIM,Forward,9,False,,,
Egypt (EGY),MOSTAFA ZICO,Midfielder,11,False,,,
Egypt (EGY),HAISSEM HASSAN,Forward,12,False,,,
Egypt (EGY),KARIM HAFEZ,Defender,15,False,,,
Egypt (EGY),MAHDY SOLIMAN,Goalkeeper,16,False,,,
Egypt (EGY),NABIL DONGA,Midfielder,18,False,,,
Egypt (EGY),IBRAHIM ADEL,Forward,20,False,,,
Egypt (EGY),MAHMOUD SABER,Midfielder,21,False,,,
Egypt (EGY),MOSTAFA SHOUBIR,Goalkeeper,23,False,,,
Egypt (EGY),TAREK ALAA,Defender,24,False,,,
Egypt (EGY),MOHAMED ALAA,Goalkeeper,26,False,,,
England (ENG),OREILLY Nico,Defender,3,False,,,
England (ENG),ANDERSON Elliot,Midfielder,8,False,,,
England (ENG),CHALOBAH Trevoh,Defender,12,False,,,
England (ENG),HENDERSON Dean,Goalkeeper,13,False,,,
England (ENG),BURN Dan,Defender,15,False,,,
England (ENG),ROGERS Morgan,Midfielder,17,False,,,
England (ENG),MADUEKE Noni,Forward,20,False,,,
England (ENG),TRAFFORD James,Goalkeeper,23,False,,,
England (ENG),SPENCE Djed,Defender,25,True,33241.0,Djed Spence,Rennes
England (ENG),QUANSAH Jarell,Defender,26,False,,,
France (FRA),SAMBA Brice,Goalkeeper,1,True,4893.0,Brice Samba,Lens
France (FRA),GUSTO Malo,Defender,2,True,39260.0,Malo Gusto,Lyon
France (FRA),KONE Manu,Midfielder,6,False,,,
France (FRA),OLISE Michael,Forward,11,False,,,
France (FRA),ZAIRE-EMERY Warren,Midfielder,18,True,144059.0,Warren Zaire Emery,Paris Saint-Germain
France (FRA),DOUE Desire,Forward,20,True,214013.0,Désiré Doué,Rennes
France (FRA),MATETA Jean-Philippe,Forward,22,False,,,
France (FRA),RISSER Robin,Goalkeeper,23,True,287392.0,Robin Risser,Strasbourg
France (FRA),CHERKI Rayan,Midfielder,24,True,32649.0,Mathis Rayan Cherki,Lyon
France (FRA),AKLIOUCHE Maghnes,Midfielder,25,True,144884.0,Maghnes Akliouche,AS Monaco
France (FRA),LACROIX Maxence,Defender,26,True,22314.0,Maxence Lacroix,Wolfsburg
Germany (GER),PAVLOVIC Aleksandar,Midfielder,5,True,140589.0,Aleksandar Pavlović,Bayern Munich
Germany (GER),LEWELING Jamie,Midfielder,9,True,28805.0,Jamie Leweling,VfB Stuttgart
Germany (GER),WOLTEMADE Nick,Forward,11,True,34870.0,Nick Woltemade,Werder Bremen
Germany (GER),BAUMANN Oliver,Goalkeeper,12,True,8393.0,Oliver Baumann,Hoffenheim
Germany (GER),STILLER Angelo,Midfielder,16,True,39360.0,Angelo Stiller,VfB Stuttgart
Germany (GER),BROWN Nathaniel,Defender,18,False,,,
Germany (GER),AMIRI Nadiem,Midfielder,20,True,8403.0,Nadiem Amiri,Bayer Leverkusen
Germany (GER),NUEBEL Alexander,Goalkeeper,21,False,,,
Germany (GER),NMECHA Felix,Midfielder,23,True,49665.0,Felix Kalu Nmecha,Borussia Dortmund
Germany (GER),THIAW Malick,Defender,24,False,,,
Germany (GER),OUEDRAOGO Assan,Midfielder,25,False,,,
Ghana (GHA),YIRENKYI Caleb,Midfielder,3,False,,,
Ghana (GHA),ADJETEY Jonas,Defender,4,False,,,
Ghana (GHA),MUMIN Abdul,Defender,6,False,,,
Ghana (GHA),SIBO Kwasi,Midfielder,8,False,,,
Ghana (GHA),THOMAS-ASANTE Brandon,Forward,10,False,,,
Ghana (GHA),ANANG Joseph,Goalkeeper,12,False,,,
Ghana (GHA),BONSU BAAH,Forward,13,False,,,
Ghana (GHA),ASARE Benjamin,Goalkeeper,16,False,,,
Ghana (GHA),OPOKU Jerome,Defender,18,False,,,
Ghana (GHA),BOAKYE Augustine,Midfielder,20,False,,,
Ghana (GHA),OPPONG Kojo,Defender,21,False,,,
Ghana (GHA),LUCKASSEN Derrick,Defender,23,False,,,
Ghana (GHA),ADU Prince,Forward,25,False,,,
Ghana (GHA),SENAYA Marvin,Defender,26,False,,,
Haiti (HAI),PLACIDE Johny,Goalkeeper,1,False,,,
Haiti (HAI),ARCUS Carlens,Defender,2,False,,,
Haiti (HAI),THERMONCY Keeto,Defender,3,False,,,
Haiti (HAI),ADE Ricardo,Defender,4,False,,,
Haiti (HAI),DELCROIX Hannes,Defender,5,False,,,
Haiti (HAI),SAINTE Carl,Midfielder,6,False,,,
Haiti (HAI),ETIENNE Derrick,Forward,7,False,,,
Haiti (HAI),EXPERIENCE Martin,Defender,8,False,,,
Haiti (HAI),NAZON Duckens,Forward,9,False,,,
Haiti (HAI),BELLEGARDE Jean-Ricner,Midfielder,10,True,19718.0,Jean-Ricner Bellegarde,Strasbourg
Haiti (HAI),DEEDSON Louicius,Forward,11,False,,,
Haiti (HAI),PIERRE Alexandre,Goalkeeper,12,False,,,
Haiti (HAI),LACROIX Markhus,Defender,13,False,,,
Haiti (HAI),METUSALA Garven,Defender,14,False,,,
Haiti (HAI),PROVIDENCE Ruben,Forward,15,False,,,
Haiti (HAI),JOSEPH Lenny,Forward,16,False,,,
Haiti (HAI),JEAN JACQUES,Midfielder,17,False,,,
Haiti (HAI),ISIDOR Wilson,Forward,18,False,,,
Haiti (HAI),FORTUNE Yassin,Forward,19,False,,,
Haiti (HAI),PIERROT Frantzdy,Forward,20,False,,,
Haiti (HAI),CASIMIR Josue,Forward,21,False,,,
Haiti (HAI),DUVERNE Jean-Kevin,Defender,22,True,7273.0,Jean-Kevin Duverne,Stade Brestois
Haiti (HAI),DUVERGER Josue,Goalkeeper,23,False,,,
Haiti (HAI),PAUGAIN Wilguens,Defender,24,False,,,
Haiti (HAI),SIMON Dominique,Midfielder,25,False,,,
Haiti (HAI),PIERRE Woodensky,Midfielder,26,False,,,
IR Iran (IRN),HARDANI Saleh,Defender,2,False,,,
IR Iran (IRN),KHALILZADEH Shoja,Defender,4,False,,,
IR Iran (IRN),MOHEBBI Mohammad,Midfielder,8,False,,,
IR Iran (IRN),GHAYEDI Mehdi,Forward,10,False,,,
IR Iran (IRN),ALIPOUR Ali,Forward,11,False,,,
IR Iran (IRN),NIAZMAND Payam,Goalkeeper,12,False,,,
IR Iran (IRN),YOUSEFI Arya,Defender,17,False,,,
IR Iran (IRN),HOSSEINZADEH Amirhossein,Forward,18,False,,,
IR Iran (IRN),NEMATI Ali,Defender,19,False,,,
IR Iran (IRN),MOGHANLOO Shahriyar,Forward,20,False,,,
IR Iran (IRN),GHORBANI Mohammad,Midfielder,21,False,,,
IR Iran (IRN),DARGAHI Dennis,Forward,24,False,,,
IR Iran (IRN),IRI Danial,Defender,25,False,,,
IR Iran (IRN),RAZAGHINIA Amirmohammad,Midfielder,26,False,,,
Iraq (IRQ),FAHAD TALIB,Goalkeeper,1,False,,,
Iraq (IRQ),REBIN SULAKA,Defender,2,False,,,
Iraq (IRQ),HUSSEIN ALI,Defender,3,False,,,
Iraq (IRQ),ZAID TAHSEEN,Defender,4,False,,,
Iraq (IRQ),AKAM HASHIM,Defender,5,False,,,
Iraq (IRQ),MUNAF YOUNUS,Defender,6,False,,,
Iraq (IRQ),YOUSSEF AMYN,Midfielder,7,False,,,
Iraq (IRQ),IBRAHIM BAYESH,Midfielder,8,False,,,
Iraq (IRQ),ALI ALHAMADI,Forward,9,False,,,
Iraq (IRQ),MOHANAD ALI,Forward,10,False,,,
Iraq (IRQ),AHMED QASEM,Forward,11,False,,,
Iraq (IRQ),JALAL HASSAN,Goalkeeper,12,False,,,
Iraq (IRQ),ALI YOUSIF,Forward,13,False,,,
Iraq (IRQ),ZIDANE IQBAL,Midfielder,14,False,,,
Iraq (IRQ),AHMED MAKNAZI,Defender,15,False,,,
Iraq (IRQ),AMIR ALAMMARI,Midfielder,16,False,,,
Iraq (IRQ),ALI JASIM,Forward,17,False,,,
Iraq (IRQ),AYMEN HUSSEIN,Forward,18,False,,,
Iraq (IRQ),KEVIN YAKOB,Midfielder,19,False,,,
Iraq (IRQ),AIMAR SHER,Midfielder,20,False,,,
Iraq (IRQ),MARKO FARJI,Forward,21,False,,,
Iraq (IRQ),AHMED BASIL,Goalkeeper,22,False,,,
Iraq (IRQ),MERCHAS DOSKI,Defender,23,False,,,
Iraq (IRQ),ZAID ISMAEL,Midfielder,24,False,,,
Iraq (IRQ),MUSTAFA SAADOON,Defender,25,False,,,
Iraq (IRQ),FRANS PUTROS,Defender,26,False,,,
Japan (JPN),SUZUKI Zion,Goalkeeper,1,False,,,
Japan (JPN),SUGAWARA Yukinari,Defender,2,False,,,
Japan (JPN),MACHINO Shuto,Forward,6,False,,,
Japan (JPN),GOTO Keisuke,Forward,9,False,,,
Japan (JPN),OSAKO Keisuke,Goalkeeper,12,False,,,
Japan (JPN),NAKAMURA Keito,Midfielder,13,False,,,
Japan (JPN),WATANABE Tsuyoshi,Defender,16,False,,,
Japan (JPN),SUZUKI Yuito,Midfielder,17,True,42229.0,Yuito Suzuki,Strasbourg
Japan (JPN),OGAWA Koki,Forward,19,False,,,
Japan (JPN),SEKO Ayumu,Defender,20,False,,,
Japan (JPN),HAYAKAWA Tomoki,Goalkeeper,23,False,,,
Japan (JPN),SANO Kaishu,Midfielder,24,False,,,
Japan (JPN),SUZUKI Junnosuke,Defender,25,False,,,
Japan (JPN),SHIOGAI Kento,Forward,26,False,,,
Jordan (JOR),YAZEED ABULAILA,Goalkeeper,1,False,,,
Jordan (JOR),MOHAMMAD ABUHASHEESH,Defender,2,False,,,
Jordan (JOR),ABDALLAH NASIB,Defender,3,False,,,
Jordan (JOR),HUSAM ABUDAHAB,Defender,4,False,,,
Jordan (JOR),YAZAN ALARAB,Defender,5,False,,,
Jordan (JOR),AMER JAMOUS,Midfielder,6,False,,,
Jordan (JOR),MOHAMMAD ABUZRAIQ,Forward,7,False,,,
Jordan (JOR),NOOR ALRAWABDEH,Midfielder,8,False,,,
Jordan (JOR),ALI OLWAN,Forward,9,False,,,
Jordan (JOR),MOUSA ALTAMARI,Forward,10,False,,,
Jordan (JOR),ODEH FAKHOURY,Forward,11,False,,,
Jordan (JOR),NOUR BANIATEYAH,Goalkeeper,12,False,,,
Jordan (JOR),MAHMOUD ALMARDI,Forward,13,False,,,
Jordan (JOR),RAJAEI AYED,Midfielder,14,False,,,
Jordan (JOR),IBRAHIM SADEH,Midfielder,15,False,,,
Jordan (JOR),MOHAMMAD ABUALNADI,Defender,16,False,,,
Jordan (JOR),SALEEM OBAID,Defender,17,False,,,
Jordan (JOR),MOHAMMAD ABUGHOUSH,Midfielder,18,False,,,
Jordan (JOR),SAED ALROSAN,Defender,19,False,,,
Jordan (JOR),MOHANNAD ABUTAHA,Midfielder,20,False,,,
Jordan (JOR),NIZAR ALRASHDAN,Midfielder,21,False,,,
Jordan (JOR),ABDALLAH ALFAKHORI,Goalkeeper,22,False,,,
Jordan (JOR),EHSAN HADDAD,Defender,23,False,,,
Jordan (JOR),ALI AZAIZEH,Forward,24,False,,,
Jordan (JOR),MOHAMMAD ALDAOUD,Midfielder,25,False,,,
Jordan (JOR),ANAS BADAWI,Defender,26,False,,,
Korea Republic (KOR),LEE Hanbeom,Defender,2,False,,,
Korea Republic (KOR),LEE Gihyuk,Midfielder,3,False,,,
Korea Republic (KOR),KIM Taehyeon,Defender,5,False,,,
Korea Republic (KOR),SONG Bumkeun,Goalkeeper,12,False,,,
Korea Republic (KOR),LEE Taeseok,Defender,13,False,,,
Korea Republic (KOR),CHO Wije,Defender,14,False,,,
Korea Republic (KOR),PARK Jinseob,Defender,16,False,,,
Korea Republic (KOR),BAE Junho,Midfielder,17,False,,,
Korea Republic (KOR),OH Hyeongyu,Forward,18,False,,,
Korea Republic (KOR),YANG Hyunjun,Midfielder,20,False,,,
Korea Republic (KOR),SEOL Youngwoo,Defender,22,False,,,
Korea Republic (KOR),CASTROP Jens,Defender,23,False,,,
Korea Republic (KOR),KIM Jingyu,Midfielder,24,False,,,
Korea Republic (KOR),EOM Jisung,Midfielder,25,False,,,
Korea Republic (KOR),LEE Donggyeong,Midfielder,26,False,,,
Mexico (MEX),RANGEL Raul,Goalkeeper,1,False,,,
Mexico (MEX),LIRA Erik,Midfielder,6,False,,,
Mexico (MEX),FIDALGO Alvaro,Midfielder,8,False,,,
Mexico (MEX),ACEVEDO Carlos,Goalkeeper,12,False,,,
Mexico (MEX),GONZALEZ Armando,Forward,14,False,,,
Mexico (MEX),VARGAS Obed,Midfielder,18,False,,,
Mexico (MEX),MORA Gilberto,Midfielder,19,False,,,
Mexico (MEX),CHAVEZ Mateo,Defender,20,False,,,
Mexico (MEX),GUTIERREZ Brian,Midfielder,26,False,,,
Morocco (MAR),SAADANE Marwane,Defender,5,False,,,
Morocco (MAR),BOUADDI Ayyoub,Midfielder,6,False,,,
Morocco (MAR),TALBI Chemsdine,Midfielder,7,False,,,
Morocco (MAR),RAHIMI Sou,Forward,9,False,,,
Morocco (MAR),DIAZ Brahim,Forward,10,False,,,
Morocco (MAR),EL KAJOUI,Goalkeeper,12,False,,,
Morocco (MAR),EL OUAHDI,Defender,13,False,,,
Morocco (MAR),DIOP Issa,Defender,14,False,,,
Morocco (MAR),EL MOURABET,Midfielder,15,False,,,
Morocco (MAR),YASSINE Gessime,Midfielder,16,False,,,
Morocco (MAR),SBAI Amine,Forward,17,False,,,
Morocco (MAR),RIAD Chadi,Defender,18,False,,,
Morocco (MAR),BELAMMARI Youssef,Defender,19,False,,,
Morocco (MAR),AMAIMOUNI Ayoube,Forward,21,False,,,
Morocco (MAR),TAGNAOUTI Ahmed,Goalkeeper,22,False,,,
Morocco (MAR),EL AYNAOUI,Midfielder,24,False,,,
